Statute Name,Violation Date,latitude,longitude,counts
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/1,47.571422,-122.34976,110
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/10,47.57141,-122.347968,177
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/10,47.571422,-122.34976,173
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/11,47.57141,-122.347968,157
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/11,47.571422,-122.34976,168
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/12,47.57141,-122.347968,152
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/12,47.571422,-122.34976,126
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/13,47.57141,-122.347968,70
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/15,47.57141,-122.347968,135
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/15,47.571422,-122.34976,151
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/16,47.57141,-122.347968,134
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/16,47.571422,-122.34976,153
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/17,47.57141,-122.347968,142
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/17,47.571422,-122.34976,153
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/18,47.57141,-122.347968,162
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/18,47.571422,-122.34976,160
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/19,47.57141,-122.347968,148
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/19,47.571422,-122.34976,177
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/2,47.57141,-122.347968,169
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/2,47.571422,-122.34976,153
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/20,47.57141,-122.347968,171
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/20,47.571422,-122.34976,159
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/21,47.57141,-122.347968,135
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/21,47.571422,-122.34976,124
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/22,47.57141,-122.347968,165
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/22,47.571422,-122.34976,137
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/23,47.57141,-122.347968,122
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/23,47.571422,-122.34976,143
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/24,47.57141,-122.347968,160
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/24,47.571422,-122.34976,167
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/25,47.57141,-122.347968,132
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/25,47.571422,-122.34976,171
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/26,47.57141,-122.347968,117
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/26,47.571422,-122.34976,166
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/27,47.57141,-122.347968,122
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/27,47.571422,-122.34976,148
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/28,47.57141,-122.347968,118
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/28,47.571422,-122.34976,118
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/29,47.57141,-122.347968,128
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/29,47.571422,-122.34976,130
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/3,47.57141,-122.347968,142
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/3,47.571422,-122.34976,129
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/30,47.57141,-122.347968,135
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/30,47.571422,-122.34976,159
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/4,47.57141,-122.347968,159
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/4,47.571422,-122.34976,187
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/5,47.57141,-122.347968,200
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/5,47.571422,-122.34976,201
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/6,47.57141,-122.347968,123
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/6,47.571422,-122.34976,134
HOV LANE VIOLATION CAMERA VIOLATION,2021/11/7,47.57141,-122.347968,127
